case_id,question_type,success,correct,result,error
s1_d_iv_neg,contradiction,True,True,true,
s3306_c_5_pos,entailment,True,False,false,
s1_c_i_neg,contradiction,True,True,true,
s1_b_iii_neg,contradiction,True,True,true,
s152_d_2_F_pos,entailment,True,True,true,
s1_a_1_iii_neg,contradiction,True,True,true,
s3306_b_10_A_neg,contradiction,True,True,true,
s63_c_2_B_neg,contradiction,True,True,true,
s3306_b_7_neg,contradiction,True,True,true,
s152_c_1_E_pos,entailment,True,True,true,
s2_a_2_B_pos,entailment,True,True,true,
s63_c_3_pos,entailment,True,True,true,
s3306_a_1_neg,contradiction,True,True,true,
s7703_b_1_pos,entailment,True,True,true,
s1_c_iv_pos,entailment,True,True,true,
s3306_b_pos,entailment,True,True,true,
s1_a_1_pos,entailment,True,True,true,
s68_b_1_A_neg,contradiction,True,True,true,
tax_case_89,tax_amount,True,True,0,
tax_case_13,tax_amount,True,True,8710,
tax_case_40,tax_amount,True,True,279126,
tax_case_26,tax_amount,True,True,196056,
tax_case_79,tax_amount,True,True,17402,
tax_case_70,tax_amount,True,True,178147,
tax_case_63,tax_amount,True,True,20298,
tax_case_61,tax_amount,True,True,25055,
