id,question,question_type,expected,prolog_result,is_correct
s151_a_neg,% Alice's total exemption for 2015 under section 151(a) is equal to $6000. Contradiction,logical,Contradiction,Contradiction,True
s151_a_pos,% Alice's total exemption for 2015 under section 151(a) is equal to $4000. Entailment,logical,Entailment,Entailment,True
s151_b_neg,% Alice can receive an exemption for Bob under section 151(b) for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s151_c_neg,% Alice can claim an exemption with Bob as the dependent for 2015 under section 151(c). Contradiction,logical,Contradiction,Contradiction,True
s151_c_pos,% Alice can claim an exemption with Bob the dependent for 2015 under section 151(c). Entailment,logical,Entailment,Entailment,True
s151_d_2_neg,"% Under section 151(d)(2), Bob's exemption amount for the year 2015 is equal to $2000. Contradiction",logical,Contradiction,Contradiction,True
s151_d_2_pos,"% Under section 151(d)(2), Bob's exemption amount for the year 2015 is equal to $0. Entailment",logical,Entailment,Entailment,True
s151_d_3_B_pos,"% Under section 151(d)(3)(B), the applicable percentage for Alice for 2015 is equal to 22. Entailment",logical,Entailment,Entailment,True
s152_b_1_neg,% Section 152(b)(1) applies to Alice for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_b_1_pos,% Section 152(b)(1) applies to Bob for the year 2015. Entailment,logical,Entailment,Entailment,True
s152_b_2_neg,% Section 152(b)(2) applies to Alice for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_b_2_pos,% Section 152(b)(2) applies to Alice for the year 2015. Entailment,logical,Entailment,Entailment,True
s152_c_1_B_neg,% Section 152(c)(1)(B) applies to Bob with Alice as the taxpayer for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_c_1_B_pos,% Section 152(c)(1)(B) applies to Bob with Alice as the taxpayer for the year 2016. Entailment,logical,Entailment,Entailment,True
s152_c_1_E_neg,% Section 152(c)(1)(E) applies to Bob for the year 2019. Contradiction,logical,Contradiction,Contradiction,True
s152_c_1_E_pos,% Section 152(c)(1)(E) applies to Bob for the year 2019. Entailment,logical,Entailment,Entailment,True
s152_c_1_neg,"% Under section 152(c)(1), Bob is a qualifying child of Alice for the year 2019. Contradiction",logical,Contradiction,Contradiction,True
s152_c_1_pos,"% Under section 152(c)(1), Bob is a qualifying child of Alice for the year 2019. Entailment",logical,Entailment,Entailment,True
s152_c_2_B_neg,% Bob bears a relationship to Alice under section 152(c)(2)(B). Contradiction,logical,Contradiction,Contradiction,True
s152_c_2_B_pos,% Bob bears a relationship to Alice under section 152(c)(2)(B). Entailment,logical,Entailment,Entailment,True
s152_c_2_neg,% Alice bears a relationship to Bob under section 152(c)(2). Contradiction,logical,Contradiction,Contradiction,True
s152_c_2_pos,% Bob bears a relationship to Alice under section 152(c)(2). Entailment,logical,Entailment,Entailment,True
s152_c_3_neg,% Bob satisfies section 152(c)(3) with Alice claiming Bob as a qualifying child for the year 2019. Contradiction,logical,Contradiction,Contradiction,True
s152_c_3_pos,% Bob satisfies section 152(c)(3) with Alice claiming Bob as a qualifying child for the year 2019. Entailment,logical,Entailment,Entailment,True
s152_d_1_B_neg,% Section 152(d)(1)(B) applies to Alice for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_d_1_B_pos,% Section 152(d)(1)(B) applies to Alice for the year 2015. Entailment,logical,Entailment,Entailment,True
s152_d_2_B_neg,% Alice bears a relationship to Bob under section 152(d)(2)(B) for the year 2015. Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_B_pos,% Alice bears a relationship to Bob under section 152(d)(2)(B) for the year 2015. Entailment,logical,Entailment,Entailment,True
s152_d_2_D_neg,% Alice bears a relationship to Bob under section 152(d)(2)(D) for the year 2018. Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_D_pos,% Alice bears a relationship to Bob under section 152(d)(2)(D) for the year 2019. Entailment,logical,Entailment,Contradiction,False
s152_d_2_E_neg,% Alice bears a relationship to Bob under section 152(d)(2)(E). Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_E_pos,% Alice bears a relationship to Bob under section 152(d)(2)(E). Entailment,logical,Entailment,Entailment,True
s152_d_2_F_neg,% Alice bears a relationship to Bob under section 152(d)(2)(F). Contradiction,logical,Contradiction,Contradiction,True
s152_d_2_F_pos,% Alice bears a relationship to Bob under section 152(d)(2)(F). Entailment,logical,Entailment,Entailment,True
s1_a_1_i_neg,% Alice and her spouse have to pay $7208 in taxes for the year 2017 under section 1(a)(i). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_i_pos,% Alice and her spouse have to pay $2600 in taxes for the year 2017 under section 1(a)(i). Entailment,logical,Entailment,Entailment,True
s1_a_1_ii_neg,% Alice and her spouse have to pay $24543 in taxes for the year 2017 under section 1(a)(ii). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_ii_pos,% Alice and her spouse have to pay $7208 in taxes for the year 2017 under section 1(a)(ii). Entailment,logical,Entailment,Entailment,True
s1_a_1_iii_neg,% Alice and her spouse have to pay $44789 in taxes for the year 2017 under section 1(a)(iii). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_iii_pos,% Alice and her spouse have to pay $24543 in taxes for the year 2017 under section 1(a)(iii). Entailment,logical,Entailment,Entailment,True
s1_a_1_iv_neg,% Alice and her spouse have to pay $247647 in taxes for the year 2017 under section 1(a)(iv). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_iv_pos,% Alice and her spouse have to pay $44789 in taxes for the year 2017 under section 1(a)(iv). Entailment,logical,Entailment,Entailment,True
s1_a_1_neg,% Alice has to pay $24056 in taxes for the year 2017 under section 1(a). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_pos,% Alice and her husband have to pay $2600 in taxes for the year 2017 under section 1(a). Entailment,logical,Entailment,Entailment,True
s1_a_1_v_neg,% Alice and her spouse have to pay $2600 in taxes for the year 2017 under section 1(a)(v). Contradiction,logical,Contradiction,Contradiction,True
s1_a_1_v_pos,% Alice and her spouse have to pay $247647 in taxes for the year 2017 under section 1(a)(v). Entailment,logical,Entailment,Entailment,True
s1_a_2_i_neg,% Alice has to pay $14836 in taxes for the year 2017 under section 1(a)(i). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_i_pos,% Alice has to pay $3834 in taxes for the year 2017 under section 1(a)(i). Entailment,logical,Entailment,Entailment,True
s1_a_2_ii_neg,% Alice has to pay $22018 in taxes for the year 2017 under section 1(a)(ii). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_ii_pos,% Alice has to pay $14836 in taxes for the year 2017 under section 1(a)(ii). Entailment,logical,Entailment,Entailment,True
s1_a_2_iii_neg,% Alice has to pay $70640 in taxes for the year 2017 under section 1(a)(iii). Contradiction,logical,Contradiction,Contradiction,True
s1_a_2_iii_pos,% Alice has to pay $22018 in taxes for the year 2017 under section 1(a)(iii). Entailment,logical,Entailment,Entailment,True
s1_b_ii_neg,% Alice has to pay $1434 in taxes for the year 2017 under section 1(b)(ii). Contradiction,logical,Contradiction,Contradiction,True
s1_b_ii_pos,% Alice has to pay $11489 in taxes for the year 2017 under section 1(b)(ii). Entailment,logical,Entailment,Entailment,True
s1_b_iii_neg,% Alice has to pay $11489 in taxes for the year 2017 under section 1(b)(iii). Contradiction,logical,Contradiction,Contradiction,True
s1_b_iii_pos,% Alice has to pay $24056 in taxes for the year 2017 under section 1(b)(iii). Entailment,logical,Entailment,Entailment,True
s1_b_iv_neg,% Alice has to pay $24056 in taxes for the year 2017 under section 1(b)(iv). Contradiction,logical,Contradiction,Contradiction,True
s1_b_iv_pos,% Alice has to pay $57509 in taxes for the year 2017 under section 1(b)(iv). Entailment,logical,Entailment,Entailment,True
s1_b_v_neg,% Alice has to pay $57509 in taxes for the year 2017 under section 1(b)(v). Contradiction,logical,Contradiction,Contradiction,True
s1_b_v_pos,% Alice has to pay $442985 in taxes for the year 2017 under section 1(b)(v). Entailment,logical,Entailment,Entailment,True
s1_c_i_neg,% Alice has to pay $265413 in taxes for the year 2017 under section 1(c)(i). Contradiction,logical,Contradiction,Contradiction,True
s1_c_i_pos,% Alice has to pay $1162 in taxes for the year 2017 under section 1(c)(i). Entailment,logical,Entailment,Entailment,True
s1_c_ii_neg,% Alice has to pay $1162 in taxes for the year 2017 under section 1(c)(ii). Contradiction,logical,Contradiction,Contradiction,True
s1_c_ii_pos,% Alice has to pay $3538 in taxes for the year 2017 under section 1(c)(ii). Entailment,logical,Entailment,Entailment,True
s1_c_iv_neg,% Alice has to pay $27225 in taxes for the year 2017 under section 1(c)(iv). Contradiction,logical,Contradiction,Contradiction,True
s1_c_iv_pos,% Alice has to pay $65445 in taxes for the year 2017 under section 1(c)(iv). Entailment,logical,Entailment,Entailment,True
s1_c_v_neg,% Alice has to pay $65445 in taxes for the year 2017 under section 1(c)(v). Contradiction,logical,Contradiction,Contradiction,True
s1_c_v_pos,% Alice has to pay $265413 in taxes for the year 2017 under section 1(c)(v). Entailment,logical,Entailment,Entailment,True
s1_d_iii_neg,% Alice has to pay $999 in taxes for the year 2017 under section 1(d)(iii). Contradiction,logical,Contradiction,Contradiction,True
s1_d_iii_pos,% Alice has to pay $17123 in taxes for the year 2017 under section 1(d)(iii). Entailment,logical,Entailment,Entailment,True
s1_d_iv_neg,% Alice has to pay $5683 in taxes for the year 2017 under section 1(d)(iv). Contradiction,logical,Contradiction,Contradiction,True
s1_d_iv_pos,% Alice has to pay $33653 in taxes for the year 2017 under section 1(d)(iv). Entailment,logical,Entailment,Entailment,True
s1_d_v_neg,% Alice has to pay $20772 in taxes for the year 2017 under section 1(d)(v). Contradiction,logical,Contradiction,Contradiction,True
s1_d_v_pos,% Alice has to pay $207772 in taxes for the year 2017 under section 1(d)(v). Entailment,logical,Entailment,Entailment,True
s2_a_1_A_neg,% Section 2(a)(1)(A) applies to Bob in 2014. Contradiction,logical,Contradiction,Contradiction,True
s2_a_1_A_pos,% Section 2(a)(1)(A) applies to Bob in 2015. Entailment,logical,Entailment,Entailment,True
s2_a_2_A_neg,% Section 2(a)(2)(A) applies to Bob in 2014. Contradiction,logical,Contradiction,Contradiction,True
