case,pass,output
tax_case_54,False,"case_query(true):-
    s152_c(TaxPayer),
    TaxPayer = ""Alice""."
tax_case_70,False,"case_query(Result):-
    s63_c_2_(Result)."
s63_c_7_i_pos,False,"case_query(true):-
    s2_b(_),
    s63_c_7_i(2019,X),
    33200 > X.
case_query(false)."
s3306_b_10_A_pos,False,"```prolog
case_query(Result):-
    s3306_b_10_(_,_,_,Agent,_,_),
    Agent == ""Alice"",
    Result = true.
case_query(Result):-
    \+ s3306_b_10_(_,_,_,Agent,_,_),
    Agent == ""Alice"",
    Result = false.
```"
s3306_c_A_pos,False,"```prolog
case_query(true) :- s3306_c_1(span(""work"",32,35),""Alice"",""Bob"").
case_query(false) :- \+ s3306_c_1(span(""work"",32,35),""Alice"",""Bob"").
```"
tax_case_66,False,"case_query(Result) :-
    bagof(Year, (bob_household_maintenance(Year, _, _, _), s152_c_1(Year)), Years),
    member(2016, Years),
    Result = true."
tax_case_61,False,"case_query(true):-
    s151_individual(""Alice"", 2015),
    gross_income_individual(""Alice"", 2015, 102268).
case_query(false)."
s3306_a_1_neg,False,"```prolog
case_query(true) :- s3306_b(_, _, _, ""Alice"", ""Bob"", _, _, _), s3306_b(_, _, _, ""Bob"", ""Alice"", _, _, _), \+ s3306_a_1(""Alice"").
```"
s63_b_pos,False,"case_query(Result) :-
    s151(""Alice"",_,_,_,2017),
    s63_c_1(""Alice"",2017,Threshold),
    s63_b(""Alice"",2017,Amount,_),
    Amount > Threshold,
    Result = true.
case_query(false)."
s3306_a_2_A_neg,False,case_query(false).
s2_a_2_B_pos,False,"```prolog
case_query(Result) :-
    bagof(Year, (
        death_(Death),
        agent_(Death, Agent),
        Agent = span(_, _, ""Bob""),
        start_(Death, Date),
        Date = span(DateAtom, _, _),
        atom_number(DateAtom, DateNum),
        DateNum // 10000 = Year
    ), Years),
    (Years = [] -> Result = false ; member(2014, Years), Result = true).
```"
tax_case_9,False,"case_query(true) :- s152_c(Taxpayer), Taxpayer = ""Alice""."
s1_d_iv_neg,False,case_query(true).
s3306_b_pos,False,"```prolog
case_query(Result) :-
    s3306_b(Result).
```"
tax_case_71,False,"```prolog
case_query(Result) :-
    s152_d(Result).
```"
s3306_c_10_A_i_neg,False,case_query(false).
tax_case_16,False,"```prolog
case_query(Result):-
    s7703_a(Result).
```"
s2_b_1_pos,False,"case_query(Result) :- s151_c_applies(""Bob"",""Charlie"",2018), Result=true.
case_query(Result) :- \+ s151_c_applies(""Bob"",""Charlie"",2018), Result=false."
s68_a_2_pos,False,case_query(false).
s151_b_neg,False,"```prolog
case_query(Result) :- s151_b(""Alice"", ""Bob"", 2015), Result = true ; Result = false.
```"
