Test Run: 2025-06-15 21:48:31
Total cases in train split: 256
Cases found and tested: 256
True cases: 256
Accuracy: 100.00%

Detailed Results:
--------------------------------------------------
s151_a_neg: True
s151_a_pos: True
s151_b_neg: True
s151_b_pos: True
s151_c_neg: True
s151_c_pos: True
s151_d_2_neg: True
s151_d_2_pos: True
s151_d_3_B_neg: True
s151_d_3_B_pos: True
s152_b_1_neg: True
s152_b_1_pos: True
s152_b_2_neg: True
s152_b_2_pos: True
s152_c_1_B_neg: True
s152_c_1_B_pos: True
s152_c_1_E_neg: True
s152_c_1_E_pos: True
s152_c_1_neg: True
s152_c_1_pos: True
s152_c_2_B_neg: True
s152_c_2_B_pos: True
s152_c_2_neg: True
s152_c_2_pos: True
s152_c_3_neg: True
s152_c_3_pos: True
s152_d_1_B_neg: True
s152_d_1_B_pos: True
s152_d_2_B_neg: True
s152_d_2_B_pos: True
s152_d_2_D_neg: True
s152_d_2_D_pos: True
s152_d_2_E_neg: True
s152_d_2_E_pos: True
s152_d_2_F_neg: True
s152_d_2_F_pos: True
s1_a_1_i_neg: True
s1_a_1_i_pos: True
s1_a_1_ii_neg: True
s1_a_1_ii_pos: True
s1_a_1_iii_neg: True
s1_a_1_iii_pos: True
s1_a_1_iv_neg: True
s1_a_1_iv_pos: True
s1_a_1_neg: True
s1_a_1_pos: True
s1_a_1_v_neg: True
s1_a_1_v_pos: True
s1_a_2_i_neg: True
s1_a_2_i_pos: True
s1_a_2_ii_neg: True
s1_a_2_ii_pos: True
s1_a_2_iii_neg: True
s1_a_2_iii_pos: True
s1_b_ii_neg: True
s1_b_ii_pos: True
s1_b_iii_neg: True
s1_b_iii_pos: True
s1_b_iv_neg: True
s1_b_iv_pos: True
s1_b_v_neg: True
s1_b_v_pos: True
s1_c_i_neg: True
s1_c_i_pos: True
s1_c_ii_neg: True
s1_c_ii_pos: True
s1_c_iv_neg: True
s1_c_iv_pos: True
s1_c_v_neg: True
s1_c_v_pos: True
s1_d_iii_neg: True
s1_d_iii_pos: True
s1_d_iv_neg: True
s1_d_iv_pos: True
s1_d_v_neg: True
s1_d_v_pos: True
s2_a_1_A_neg: True
s2_a_1_A_pos: True
s2_a_2_A_neg: True
s2_a_2_A_pos: True
s2_a_2_B_neg: True
s2_a_2_B_pos: True
s2_b_1_A_neg: True
s2_b_1_A_pos: True
s2_b_1_B_neg: True
s2_b_1_B_pos: True
s2_b_1_neg: True
s2_b_1_pos: True
s2_b_2_A_neg: True
s2_b_2_A_pos: True
s2_b_2_B_neg: True
s2_b_2_B_pos: True
s2_b_2_C_neg: True
s2_b_2_C_pos: True
s2_b_3_B_neg: True
s2_b_3_B_pos: True
s3306_a_1_A_neg: True
s3306_a_1_A_pos: True
s3306_a_1_neg: True
s3306_a_1_pos: True
s3306_a_2_A_neg: True
s3306_a_2_A_pos: True
s3306_a_2_B_neg: True
s3306_a_2_B_pos: True
s3306_b_10_A_neg: True
s3306_b_10_A_pos: True
s3306_b_10_B_neg: True
s3306_b_10_B_pos: True
s3306_b_11_neg: True
s3306_b_11_pos: True
s3306_b_15_neg: True
s3306_b_15_pos: True
s3306_b_2_A_neg: True
s3306_b_2_A_pos: True
s3306_b_7_neg: True
s3306_b_7_pos: True
s3306_b_neg: True
s3306_b_pos: True
s3306_c_10_A_i_neg: True
s3306_c_10_A_i_pos: True
s3306_c_10_A_ii_neg: True
s3306_c_10_A_ii_pos: True
s3306_c_13_neg: True
s3306_c_13_pos: True
s3306_c_1_A_i_neg: True
s3306_c_1_A_i_pos: True
s3306_c_1_neg: True
s3306_c_1_pos: True
s3306_c_21_neg: True
s3306_c_21_pos: True
s3306_c_2_neg: True
s3306_c_2_pos: True
s3306_c_5_neg: True
s3306_c_5_pos: True
s3306_c_A_neg: True
s3306_c_A_pos: True
s63_a_neg: True
s63_a_pos: True
s63_c_1_neg: True
s63_c_1_pos: True
s63_c_2_B_neg: True
s63_c_2_B_pos: True
s63_c_2_C_neg: True
s63_c_2_C_pos: True
s63_c_3_neg: True
s63_c_3_pos: True
s63_c_5_neg: True
s63_c_5_pos: True
s63_c_6_A_neg: True
s63_c_6_A_pos: True
s63_c_7_ii_neg: True
s63_c_7_ii_pos: True
s63_d_2_neg: True
s63_d_2_pos: True
s63_d_neg: True
s63_d_pos: True
s63_f_1_B_neg: True
s63_f_1_B_pos: True
s63_f_2_A_neg: True
s63_f_2_A_pos: True
s63_f_3_neg: True
s63_f_3_pos: True
s68_a_1_neg: True
s68_a_1_pos: True
s68_b_1_A_neg: True
s68_b_1_A_pos: True
s68_b_1_D_neg: True
s68_b_1_D_pos: True
s68_f_neg: True
s68_f_pos: True
s7703_a_2_neg: True
s7703_a_2_pos: True
s7703_b_1_neg: True
s7703_b_1_pos: True
s7703_b_3_neg: True
s7703_b_3_pos: True
tax_case_1: True
tax_case_10: True
tax_case_100: True
tax_case_11: True
tax_case_12: True
tax_case_13: True
tax_case_14: True
tax_case_15: True
tax_case_16: True
tax_case_17: True
tax_case_18: True
tax_case_19: True
tax_case_2: True
tax_case_20: True
tax_case_21: True
tax_case_22: True
tax_case_23: True
tax_case_24: True
tax_case_25: True
tax_case_26: True
tax_case_27: True
tax_case_29: True
tax_case_3: True
tax_case_32: True
tax_case_33: True
tax_case_35: True
tax_case_36: True
tax_case_37: True
tax_case_38: True
tax_case_39: True
tax_case_4: True
tax_case_40: True
tax_case_41: True
tax_case_42: True
tax_case_44: True
tax_case_45: True
tax_case_47: True
tax_case_5: True
tax_case_50: True
tax_case_51: True
tax_case_52: True
tax_case_54: True
tax_case_55: True
tax_case_56: True
tax_case_58: True
tax_case_59: True
tax_case_6: True
tax_case_60: True
tax_case_61: True
tax_case_62: True
tax_case_63: True
tax_case_64: True
tax_case_65: True
tax_case_66: True
tax_case_67: True
tax_case_7: True
tax_case_70: True
tax_case_71: True
tax_case_72: True
tax_case_73: True
tax_case_74: True
tax_case_76: True
tax_case_79: True
